gene_name;gi;pident;evalue;description
THTET00000003540;gi|29839256|sp|O60573.1|IF4E2_HUMAN;32.804;1.52E-22;"RecName: Full=Eukaryotic translation initiation factor 4E type 2; Short=eIF-4E type 2; Short=eIF4E type 2; AltName: Full=Eukaryotic translation initiation factor 4E homologous protein; AltName: Full=Eukaryotic translation initiation factor 4E-like 3; AltName: Full=eIF4E-like protein 4E-LP; AltName: Full=mRNA cap-binding protein 4EHP; Short=h4EHP; AltName: Full=mRNA cap-binding protein type 3"
THTET00000003643;gi|384872703|sp|O14096.4|QTRT2_SCHPO;29.724;6.26E-44;"RecName: Full=Queuine tRNA-ribosyltransferase accessory subunit 2; AltName: Full=Queuine tRNA-ribosyltransferase domain-containing protein 1"
THTET00000003703;gi|25090501|sp|Q61625.1|GRID2_MOUSE;32.609;3.2;"RecName: Full=Glutamate receptor ionotropic, delta-2; Short=GluD2; Short=GluR delta-2 subunit; Flags: Precursor"
THTET00000002530;gi|121741719|sp|Q0CXB1.1|DAPB_ASPTN;34.921;1.5;"RecName: Full=Probable dipeptidyl-aminopeptidase B; Short=DPAP B"
THTET00000002681;gi|26396999|sp|O75011.1|NAK1_SCHPO;33.735;1.2;"RecName: Full=Serine/threonine-protein kinase nak1; AltName: Full=N-rich kinase 1"
THTET00000003657;gi|3219937|sp|P87055.1|YDJ7_SCHPO;35.537;1.49E-40;RecName: Full=Uncharacterized protein C57A10.07
THTET00000003596;gi|55583897|sp|Q6PAM1.1|TXLNA_MOUSE;30.612;8.71E-31;RecName: Full=Alpha-taxilin
THTET00000003052;gi|363579906|sp|D2YW26.1|FTSQ_ZYMMO;40;1;RecName: Full=Cell division protein FtsQ
THTET00000002479;gi|226698933|sp|B2JS87.1|BETI_BURP8;34.722;0.3;RecName: Full=HTH-type transcriptional regulator BetI
THTET00000003407;gi|1170972|sp|P45856.1|HBD_BACSU;49.655;8.56E-91;"RecName: Full=Probable 3-hydroxybutyryl-CoA dehydrogenase; AltName: Full=Beta-hydroxybutyryl-CoA dehydrogenase; Short=BHBD"
THTET00000002944;gi|74644560|sp|Q96VH4.1|HBN1_YEAST;40.394;3.95E-40;"RecName: Full=Putative nitroreductase HBN1; AltName: Full=Homologous to bacterial nitroreductases protein 1"
THTET00000002795;gi|74676177|sp|O94264.1|YORF_SCHPO;41.709;3.41E-94;RecName: Full=Uncharacterized RING finger protein P8B7.15c
THTET00000003073;gi|613779047|sp|U6A629.1|ABFA_PENCN;52.932;0;"RecName: Full=Alpha-L-arabinofuranosidase A; Short=ABF A; Short=Arabinosidase A; AltName: Full=Arabinoxylan-arabinofuranohydrolase of 70 kDa; Short=AF-70; Flags: Precursor"
THTET00000003587;gi|730329|sp|P40977.1|PLC1_SCHPO;34.638;1.02E-140;"RecName: Full=1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1; AltName: Full=Phospholipase C-1; Short=PLC-1"
THTET00000003388;gi|408407682|sp|F1QBY1.1|NIPLB_DANRE;40;4.77E-11;RecName: Full=Nipped-B-like protein B
THTET00000003388;gi|408407682|sp|F1QBY1.1|NIPLB_DANRE;32.812;9.27E-09;RecName: Full=Nipped-B-like protein B
THTET00000003388;gi|408407682|sp|F1QBY1.1|NIPLB_DANRE;37.143;8.31E-08;RecName: Full=Nipped-B-like protein B
THTET00000003388;gi|408407682|sp|F1QBY1.1|NIPLB_DANRE;35.484;7.07E-07;RecName: Full=Nipped-B-like protein B
THTET00000003388;gi|408407682|sp|F1QBY1.1|NIPLB_DANRE;30.833;1.21E-06;RecName: Full=Nipped-B-like protein B
THTET00000003388;gi|408407682|sp|F1QBY1.1|NIPLB_DANRE;30.682;1.48E-06;RecName: Full=Nipped-B-like protein B
THTET00000003388;gi|408407682|sp|F1QBY1.1|NIPLB_DANRE;33.333;1.76E-04;RecName: Full=Nipped-B-like protein B
THTET00000003388;gi|408407682|sp|F1QBY1.1|NIPLB_DANRE;23.841;2.8;RecName: Full=Nipped-B-like protein B
THTET00000002453;gi|1100163932|sp|P0CU28.1|RS24_CHATD;88.71;6.72E-77;RecName: Full=40S ribosomal protein S24
THTET00000003542;gi|77416870|sp|O35071.2|KIF1C_MOUSE;50.649;1.45E-112;RecName: Full=Kinesin-like protein KIF1C
THTET00000002832;gi|108935831|sp|Q62059.2|CSPG2_MOUSE;39.394;1.3;"RecName: Full=Versican core protein; AltName: Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName: Full=Large fibroblast proteoglycan; AltName: Full=PG-M; Flags: Precursor"
THTET00000002462;gi|75174543|sp|Q9LL41.1|PCBER_PINTA;27.381;7.69E-23;"RecName: Full=Isoflavone reductase homolog PCBER; AltName: Full=Phenylcoumaran benzylic ether reductase PT1; Short=PCBER-Pt1; AltName: Full=PtPCBER"
THTET00000003017;gi|317374847|sp|P0CJ44.1|ALF_COCIM;49.827;8.99E-93;"RecName: Full=Putative fructose-bisphosphate aldolase; Short=FBP aldolase; Short=FBPA; AltName: Full=Putative fructose-1,6-bisphosphate aldolase"
THTET00000003492;gi|29839256|sp|O60573.1|IF4E2_HUMAN;43.814;3.45E-55;"RecName: Full=Eukaryotic translation initiation factor 4E type 2; Short=eIF-4E type 2; Short=eIF4E type 2; AltName: Full=Eukaryotic translation initiation factor 4E homologous protein; AltName: Full=Eukaryotic translation initiation factor 4E-like 3; AltName: Full=eIF4E-like protein 4E-LP; AltName: Full=mRNA cap-binding protein 4EHP; Short=h4EHP; AltName: Full=mRNA cap-binding protein type 3"
THTET00000002651;gi|549674|sp|P36091.1|DCW1_YEAST;44.186;2.16E-120;"RecName: Full=Mannan endo-1,6-alpha-mannosidase DCW1; AltName: Full=Defective cell wall 1; AltName: Full=Endo-alpha-1->6-D-mannanase DCW1; Flags: Precursor"
THTET00000003646;gi|41688744|sp|Q9URM2.1|TKT_SCHPO;64.853;0;"RecName: Full=Probable transketolase; Short=TK"
THTET00000003337;gi|586924|sp|P38374.1|YSY6_YEAST;38.462;3.22E-04;RecName: Full=Protein YSY6
THTET00000002619;gi|139693|sp|P07527.1|WEE1_SCHPO;41.509;2.70E-80;"RecName: Full=Mitosis inhibitor protein kinase wee1; AltName: Full=P107 protein kinase homolog"
THTET00000002539;gi|74582980|sp|O94701.1|INN1_SCHPO;33.987;8.24E-18;"RecName: Full=Ingression protein fic1; AltName: Full=Cdc15-interacting C2 domain-containing protein 1"
THTET00000003101;gi|205781929|sp|A1RYE4.1|GYAR_THEPD;29.739;7.27E-31;RecName: Full=Glyoxylate reductase
THTET00000002627;gi|1076761184|sp|S0EEY7.1|FUS6_GIBF5;26.296;5.21E-30;"RecName: Full=Efflux pump FUS6; AltName: Full=Fusarin biosynthesis protein 6"
THTET00000003526;gi|391358132|sp|O43085.2|DSC1_SCHPO;27.143;4.30E-33;"RecName: Full=DSC E3 ubiquitin ligase complex subunit 1; AltName: Full=Defective for SREBP cleavage protein 1; AltName: Full=RING-type E3 ubiquitin transferase DSC1; Flags: Precursor"
THTET00000003526;gi|391358132|sp|O43085.2|DSC1_SCHPO;35.821;7.51E-07;"RecName: Full=DSC E3 ubiquitin ligase complex subunit 1; AltName: Full=Defective for SREBP cleavage protein 1; AltName: Full=RING-type E3 ubiquitin transferase DSC1; Flags: Precursor"
THTET00000003600;gi|26399885|sp|O13286.1|SRW1_SCHPO;45.582;1.11E-147;"RecName: Full=WD repeat-containing protein srw1; AltName: Full=Suppressor of rad/wee1"
THTET00000003112;gi|15213966|sp|Q9P7E3.1|DCAM_SCHPO;36.042;4.79E-84;"RecName: Full=S-adenosylmethionine decarboxylase proenzyme; Short=AdoMetDC; Short=SAMDC; Contains: RecName: Full=S-adenosylmethionine decarboxylase alpha chain; Contains: RecName: Full=S-adenosylmethionine decarboxylase beta chain; Flags: Precursor"
THTET00000003189;gi|353678136|sp|A2RVM0.1|TIC32_ARATH;35.231;1.20E-44;"RecName: Full=Short-chain dehydrogenase TIC 32, chloroplastic; AltName: Full=Translocon at the inner envelope membrane of chloroplasts 32; Short=AtTIC32"
THTET00000003791;gi|123849324|sp|Q3V4U0.1|Y545_ATV;25.532;1.8;RecName: Full=Putative transmembrane protein ORF545 [Acidianus two-tailed virus]
THTET00000003824;gi|442570171|sp|Q75CC8.2|HRD1_ASHGO;29.268;0.89;"RecName: Full=ERAD-associated E3 ubiquitin-protein ligase HRD1; AltName: Full=RING-type E3 ubiquitin transferase HRD1"
THTET00000002580;gi|20141383|sp|P42698.2|DR111_ARATH;26.236;7.99E-10;"RecName: Full=DNA-damage-repair/toleration protein DRT111, chloroplastic; AltName: Full=REQUIRED FOR SNC4-1D protein 2; Flags: Precursor"
THTET00000002494;gi|39932720|sp|P38918.2|ARK73_RAT;38.855;5.22E-67;"RecName: Full=Aflatoxin B1 aldehyde reductase member 3; Short=AFB1-AR; AltName: Full=Aflatoxin B1 aldehyde reductase member 1; Short=rAFAR1"
THTET00000002786;gi|74620364|sp|Q8J0F0.1|CEFD2_ACRCH;52.334;2.30E-123;"RecName: Full=Isopenicillin N epimerase component 2; Short=IPN epimerase component 2; AltName: Full=Isopenicillin N epimerase acyl-CoA racemase component"
THTET00000002645;gi|126781|sp|P07112.4|MOBA2_ECOLX;41.304;1.5;"RecName: Full=Mobilization protein A; AltName: Full=DNA strand transferase; Includes: RecName: Full=DNA relaxase; AltName: Full=DNA nickase; Includes: RecName: Full=DNA primase"
THTET00000003826;gi|75268093|sp|Q9ZW30.1|GSTU1_ARATH;31.343;0.31;"RecName: Full=Glutathione S-transferase U1; Short=AtGSTU1; AltName: Full=GST class-tau member 1; AltName: Full=Glutathione S-transferase 19"
THTET00000003648;gi|187611527|sp|Q9Y2H2.3|SAC2_HUMAN;33.333;2.04E-84;"RecName: Full=Phosphatidylinositide phosphatase SAC2; AltName: Full=Inositol polyphosphate 5-phosphatase F; AltName: Full=Sac domain-containing inositol phosphatase 2; AltName: Full=Sac domain-containing phosphoinositide 4-phosphatase 2; Short=hSAC2"
THTET00000003422;gi|130551|sp|P16423.1|POLR_DROME;22.449;0.033;"RecName: Full=Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM; AltName: Full=Retrovirus-related Pol polyprotein from type II retrotransposable element R2DM; Includes: RecName: Full=Protease; Includes: RecName: Full=Reverse transcriptase; Includes: RecName: Full=Endonuclease"
THTET00000003342;gi|74735596|sp|O96005.1|CLPT1_HUMAN;37.066;2.21E-109;RecName: Full=Cleft lip and palate transmembrane protein 1
THTET00000003339;gi|74582908|sp|O94495.1|ELP5_SCHPO;27.463;1.29E-24;"RecName: Full=Elongator complex protein 5; AltName: Full=Protein iki1"
THTET00000002620;gi|20177975|sp|Q8XHB7.1|MURI_CLOPE;21.656;3.3;RecName: Full=Glutamate racemase
THTET00000003777;gi|74633365|sp|Q6C4Q0.1|PRM10_YARLI;27.869;4.6;RecName: Full=Pheromone-regulated membrane protein 10
THTET00000003615;gi|158514032|sp|A1XSY8.1|EGR2_PIG;44.186;2.3;"RecName: Full=E3 SUMO-protein ligase EGR2; AltName: Full=E3 SUMO-protein transferase ERG2; AltName: Full=Early growth response protein 2; Short=EGR-2"
THTET00000002739;gi|1270743810|sp|A0A0D1CZ63.1|FER6_USTMA;38.173;0;"RecName: Full=Multidrug resistance protein fer6; AltName: Full=ATP-binding cassette sub-family C member fer6; AltName: Full=Fe-regulated protein 6; Flags: Precursor"
THTET00000002739;gi|1270743810|sp|A0A0D1CZ63.1|FER6_USTMA;24.893;7.94E-05;"RecName: Full=Multidrug resistance protein fer6; AltName: Full=ATP-binding cassette sub-family C member fer6; AltName: Full=Fe-regulated protein 6; Flags: Precursor"
THTET00000003062;gi|353558865|sp|C8V4D4.1|GRRA_EMENI;53.37;0;"RecName: Full=SCF E3 ubiquitin ligase complex F-box protein grrA; AltName: Full=F-box and leucine-rich repeat protein grrA; AltName: Full=F-box/LRR-repeat protein grrA; AltName: Full=SCF substrate adapter protein grrA"
THTET00000003635;gi|123905735|sp|Q0IJ29.1|ZBT18_XENTR;35.616;1.8;"RecName: Full=Zinc finger and BTB domain-containing protein 18; AltName: Full=Zinc finger protein 238"
THTET00000002669;gi|26398534|sp|Q9USH7.1|PSY1_SCHPO;31.967;1.31E-34;RecName: Full=Syntaxin-like protein psy1
THTET00000003326;gi|1028065923|sp|J3QMY9.2|TOP6B_MOUSE;33.871;0.35;"RecName: Full=Type 2 DNA topoisomerase 6 subunit B-like; AltName: Full=Type 2 DNA topoisomerase VI subunit B-like; Short=TOPOVIBL"
THTET00000002757;gi|1168610|sp|P41696.1|AZF1_YEAST;36.842;1.51E-29;RecName: Full=Asparagine-rich zinc finger protein AZF1
THTET00000003512;gi|45476972|sp|Q9C2M6.1|DOPP_NEUCR;55.14;1.03E-107;"RecName: Full=Putative dolichyldiphosphatase; AltName: Full=Dolichyl pyrophosphate phosphatase"
THTET00000003171;gi|158513836|sp|A4IRW4.1|Y2723_GEOTN;28.75;0.55;RecName: Full=UPF0354 protein GTNG_2723
THTET00000003421;gi|81999800|sp|Q5UP59.1|YL591_MIMIV;26.471;7.1;RecName: Full=Uncharacterized protein L591
THTET00000002750;gi|3219845|sp|O14337.1|RM07_SCHPO;34.677;4.13E-43;"RecName: Full=Probable 54S ribosomal protein L7, mitochondrial; Flags: Precursor"
THTET00000002483;gi|729763|sp|P40920.1|HSP30_EMENI;48.276;3.44E-44;RecName: Full=30 kDa heat shock protein
THTET00000003373;gi|74582890|sp|O94437.1|YFI3_SCHPO;39.544;1.51E-67;RecName: Full=Abhydrolase domain-containing protein C22H12.03
THTET00000002836;gi|82081465|sp|Q5ZJ60.1|HIBCH_CHICK;43.75;4.95E-90;"RecName: Full=3-hydroxyisobutyryl-CoA hydrolase, mitochondrial; AltName: Full=3-hydroxyisobutyryl-coenzyme A hydrolase; Short=HIB-CoA hydrolase; Short=HIBYL-CoA-H; Flags: Precursor"
THTET00000003869;gi|81871053|sp|Q80T03.1|MUC6_MOUSE;35.165;0.79;"RecName: Full=Mucin-6; Short=MUC-6; AltName: Full=Gastric mucin-6; AltName: Full=Secreted gel-forming mucin-6; Flags: Precursor"
THTET00000003321;gi|12230121|sp|O93869.2|GYS_NEUCR;92.197;0;RecName: Full=Glycogen [starch] synthase
THTET00000002609;gi|74592878|sp|Q5ATG5.1|APDG_EMENI;39.11;1.23E-89;"RecName: Full=Acyl-CoA dehydrogenase apdG; AltName: Full=Aspyridones biosynthesis protein G"
THTET00000003463;gi|353558799|sp|C8V329.1|FCY2_EMENI;33.071;3.52E-80;"RecName: Full=Purine-cytosine permease fcyB; Short=PCP fcyB; AltName: Full=Cytosine/purine transport protein fcyB; AltName: Full=Fluorocytosine resistance protein fcyB"
THTET00000003085;gi|75153311|sp|Q8H965.1|NPC6_ARATH;33.26;6.69E-59;"RecName: Full=Non-specific phospholipase C6; Flags: Precursor"
THTET00000003810;gi|347595666|sp|P36066.2|MGR3L_YEAST;28.333;4.99E-08;RecName: Full=Protein MRG3-like
THTET00000002563;gi|1730734|sp|P53950.1|VAC7_YEAST;23.897;9.63E-11;RecName: Full=Vacuolar segregation protein 7
THTET00000002563;gi|1730734|sp|P53950.1|VAC7_YEAST;63.333;0.052;RecName: Full=Vacuolar segregation protein 7
THTET00000003045;gi|74676409|sp|Q06522.1|YP147_YEAST;26.506;2.16E-16;RecName: Full=Uncharacterized protein YPR147C
THTET00000003577;gi|549736|sp|P36049.1|EBP2_YEAST;49.407;2.70E-57;"RecName: Full=rRNA-processing protein EBP2; AltName: Full=EBNA1-binding protein homolog"
THTET00000003899;gi|56405352|sp|P81898.2|PNAA_PRUDU;30.148;1.63E-59;"RecName: Full=Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A; Short=PNGase A; AltName: Full=Glycopeptide N-glycosidase; AltName: Full=N-glycanase; Contains: RecName: Full=Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A light chain; AltName: Full=PNGase A small chain; AltName: Full=PNGase A subunit B; Contains: RecName: Full=Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A heavy chain; AltName: Full=PNGase A large chain; Short=PNGase A subunit A"
THTET00000003394;gi|52788297|sp|Q9P869.2|AAKG_KLULA;54.037;7.40E-127;"RecName: Full=5'-AMP-activated protein kinase subunit gamma; Short=AMPK gamma; Short=AMPK subunit gamma; AltName: Full=Nuclear protein SNF4"
THTET00000002678;gi|52783241|sp|Q9HGI2.1|RAD52_NEUCR;53.115;5.73E-175;"RecName: Full=DNA repair and recombination protein mus-11; AltName: Full=Mutagen-sensitive protein 11; AltName: Full=RAD52 homolog"
THTET00000003787;gi|729853|sp|Q05918.1|IPHP_NOSCO;30.804;5.91E-16;"RecName: Full=Tyrosine-protein phosphatase; Flags: Precursor"
THTET00000003057;gi|547935|sp|P36612.1|PRS4_SCHPO;75.107;0;"RecName: Full=26S proteasome regulatory subunit 4 homolog; AltName: Full=Protein mts2"
THTET00000002592;gi|1730633|sp|P53846.1|YN00_YEAST;41.176;6.85E-06;RecName: Full=Uncharacterized ORAOV1 family protein YNL260C
THTET00000003862;gi|14548232|sp|Q9RPT1.1|RHLG_PSEAE;35.932;5.57E-50;"RecName: Full=Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-acyl carrier protein reductase"
THTET00000002600;gi|259586147|sp|B8GI94.1|COFH_METPE;24.242;1.7;"RecName: Full=FO synthase subunit 2; AltName: Full=7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 2"
THTET00000003533;gi|75055170|sp|Q5RD71.1|KHK_PONAB;28.267;1.20E-21;"RecName: Full=Ketohexokinase; AltName: Full=Hepatic fructokinase"
THTET00000003680;gi|12644370|sp|P98169.2|ZXDB_HUMAN;35.714;3.88E-06;RecName: Full=Zinc finger X-linked protein ZXDB
THTET00000003680;gi|12644370|sp|P98169.2|ZXDB_HUMAN;30;1.2;RecName: Full=Zinc finger X-linked protein ZXDB
THTET00000003680;gi|12644370|sp|P98169.2|ZXDB_HUMAN;28.03;5.6;RecName: Full=Zinc finger X-linked protein ZXDB
THTET00000003271;gi|1133968582|sp|A0A0U1LQE2.1|CCTT_TALIS;40.502;1.16E-64;"RecName: Full=Short-chain dehydrogenase cctT; AltName: Full=Cyclochlorotine biosynthesis protein T; Flags: Precursor"
THTET00000003121;gi|75273503|sp|Q9LJ97.1|LEA31_ARATH;42.857;2.6;"RecName: Full=Late embryogenesis abundant protein 31; Short=LEA 31; AltName: Full=Protein RESPONSIVE TO ABSCISIC ACID 28; Short=AtRAB28"
THTET00000003182;gi|74948837|sp|Q9W062.1|MFAP1_DROME;44.505;1.36E-29;RecName: Full=Microfibrillar-associated protein 1
THTET00000003949;gi|121792217|sp|Q2HGY8.1|BUD32_CHAGB;80.784;1.62E-141;"RecName: Full=EKC/KEOPS complex subunit BUD32; AltName: Full=Atypical serine/threonine protein kinase BUD32"
THTET00000003410;gi|2851424|sp|P40332.2|IOLX_BACSU;34.426;1.01E-07;RecName: Full=scyllo-inositol 2-dehydrogenase (NAD(
THTET00000003440;gi|586830488|sp|Q9P6U7.2|PSB4_NEUCR;91.758;3.06E-123;"RecName: Full=Probable proteasome subunit beta type-4; AltName: Full=Proteosome catalytic beta subunit 4"
THTET00000003638;gi|1175369|sp|Q09693.1|DPO4_SCHPO;31.05;1.62E-55;RecName: Full=DNA polymerase type-X family protein pol4
THTET00000003437;gi|731690|sp|P38812.1|GEP4_YEAST;46.193;6.36E-54;"RecName: Full=Phosphatidylglycerophosphatase GEP4, mitochondrial; AltName: Full=Genetic interactor of prohibitins 4; AltName: Full=PGP phosphatase GEP4"
THTET00000003103;gi|21542210|sp|Q9UUK7.1|PUR3_SCHPO;42.512;3.16E-48;"RecName: Full=Phosphoribosylglycinamide formyltransferase; AltName: Full=5'-phosphoribosylglycinamide transformylase; AltName: Full=GAR transformylase; Short=GART"
THTET00000003163;gi|2498910|sp|Q08446.1|SGT1_YEAST;36.8;2.71E-29;"RecName: Full=Protein SGT1; AltName: Full=Suppressor of G2 allele of SKP1"
THTET00000003838;gi|3183276|sp|O13729.1|PUN1_SCHPO;28.667;1.23E-06;RecName: Full=SUR7 family protein pun1
THTET00000002613;gi|729065|sp|P40377.1|MCM2_SCHPO;64.589;0;"RecName: Full=DNA replication licensing factor mcm2; AltName: Full=Cell division control protein 19; AltName: Full=Minichromosome maintenance protein 2"
THTET00000003088;gi|74698455|sp|Q9UUD0.1|YNQA_SCHPO;32.042;1.17E-39;RecName: Full=Uncharacterized protein C19C2.10
THTET00000002547;gi|1172568|sp|P41893.1|PPAL_SCHPO;52.532;1.88E-52;"RecName: Full=Low molecular weight phosphotyrosine protein phosphatase; AltName: Full=Low molecular weight cytosolic acid phosphatase; AltName: Full=PTPase; AltName: Full=Small tyrosine phosphatase"
THTET00000003892;gi|123579836|sp|Q3ARQ5.1|COBT_CHLCH;29.825;0.42;"RecName: Full=Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase; Short=NN:DBI PRT; AltName: Full=N(1)-alpha-phosphoribosyltransferase"
THTET00000003015;gi|122252041|sp|Q01RQ2.1|CH60_SOLUE;32.184;6.5;"RecName: Full=60 kDa chaperonin; AltName: Full=GroEL protein; AltName: Full=Protein Cpn60"
THTET00000002968;gi|51702138|sp|Q9C0U7.1|VPS5_SCHPO;40.318;5.05E-81;RecName: Full=Vacuolar protein sorting-associated protein vps5
THTET00000003210;gi|81885298|sp|Q6P720.1|ARHGP_RAT;48.387;0.25;"RecName: Full=Rho guanine nucleotide exchange factor 25; AltName: Full=Guanine nucleotide exchange factor GEFT; AltName: Full=Rac/Cdc42/Rho exchange factor GEFT; AltName: Full=RhoA/Rac/Cdc42 guanine nucleotide exchange factor GEFT"
THTET00000003365;gi|3183173|sp|O14018.1|SYSC_SCHPO;63.014;0;"RecName: Full=Serine--tRNA ligase, cytoplasmic; AltName: Full=Seryl-tRNA synthetase; Short=SerRS; AltName: Full=Seryl-tRNA(Ser/Sec) synthetase"
THTET00000003908;gi|67460645|sp|Q608T0.1|PSD_METCA;24.603;2.1;"RecName: Full=Phosphatidylserine decarboxylase proenzyme; Contains: RecName: Full=Phosphatidylserine decarboxylase alpha chain; Contains: RecName: Full=Phosphatidylserine decarboxylase beta chain"
THTET00000003155;gi|998455152|sp|Q5JN42.3|PSD2_ORYSJ;40.789;6.15E-62;"RecName: Full=Phosphatidylserine decarboxylase proenzyme 2; Contains: RecName: Full=Phosphatidylserine decarboxylase 2 beta chain; Contains: RecName: Full=Phosphatidylserine decarboxylase 2 alpha chain"
THTET00000003026;gi|1075594226|sp|B8NM67.1|USTYA_ASPFN;33.333;1.57E-10;"RecName: Full=Oxidase ustYa; AltName: Full=Ustiloxin B biosynthesis protein Ya"
THTET00000003737;gi|114152872|sp|P25303.2|SCJ1_YEAST;41.975;2.49E-11;"RecName: Full=DnaJ-related protein SCJ1; Short=J protein SCJ1; Flags: Precursor"
THTET00000003150;gi|116855|sp|P13943.1|MMP1_RABIT;41.935;3.2;"RecName: Full=Interstitial collagenase; AltName: Full=Matrix metalloproteinase-1; Short=MMP-1; Flags: Precursor"
THTET00000002797;gi|52783511|sp|O74492.1|HIUH_SCHPO;46.667;2.08E-11;"RecName: Full=Probable 5-hydroxyisourate hydrolase; Short=HIU hydrolase; Short=HIUHase; AltName: Full=Transthyretin-like protein C285.04"
THTET00000002797;gi|52783511|sp|O74492.1|HIUH_SCHPO;31.579;0.13;"RecName: Full=Probable 5-hydroxyisourate hydrolase; Short=HIU hydrolase; Short=HIUHase; AltName: Full=Transthyretin-like protein C285.04"
THTET00000003009;gi|123594609|sp|Q3JC90.1|PUR9_NITOC;31.884;1.3;"RecName: Full=Bifunctional purine biosynthesis protein PurH; Includes: RecName: Full=Phosphoribosylaminoimidazolecarboxamide formyltransferase; AltName: Full=AICAR transformylase; Includes: RecName: Full=IMP cyclohydrolase; AltName: Full=ATIC; AltName: Full=IMP synthase; AltName: Full=Inosinicase"
THTET00000003449;gi|119382715|sp|Q2U3W4.1|TRM61_ASPOR;49.516;2.67E-163;"RecName: Full=tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit trm61; AltName: Full=tRNA(m1A58)-methyltransferase subunit trm61; Short=tRNA(m1A58)MTase subunit trm61"
THTET00000003785;gi|449081291|sp|O93927.3|FKS1_CRYNH;27.778;0.68;RecName: Full=1,3-beta-glucan synthase component FKS1
THTET00000003887;gi|166214942|sp|P24322.2|GGPPS_NEUCR;68.213;0;"RecName: Full=Geranylgeranyl pyrophosphate synthase; Short=GGPP synthase; Short=GGPPSase; AltName: Full=(2E,6E)-farnesyl diphosphate synthase; AltName: Full=Albino-3 protein; AltName: Full=Dimethylallyltranstransferase; AltName: Full=Farnesyl diphosphate synthase; AltName: Full=Farnesyltranstransferase; AltName: Full=Geranylgeranyl diphosphate synthase; AltName: Full=Geranyltranstransferase"
THTET00000002526;gi|131056|sp|P24665.1|PRTA_ASPNG;59.111;4.50E-78;"RecName: Full=Aspergillopepsin-2; AltName: Full=Acid protease A; AltName: Full=Aspergillopepsin II; AltName: Full=Proctase A; Contains: RecName: Full=Aspergillopepsin-2 light chain; AltName: Full=Aspergillopepsin II light chain; Contains: RecName: Full=Aspergillopepsin-2 heavy chain; AltName: Full=Aspergillopepsin II heavy chain; Flags: Precursor"
THTET00000003500;gi|30316287|sp|Q9C2B9.1|RL38_NEUCR;85.526;1.26E-41;RecName: Full=60S ribosomal protein L38
THTET00000002821;gi|21542452|sp|P93736.2|SYVM1_ARATH;24.096;3.8;"RecName: Full=Valine--tRNA ligase, mitochondrial 1; AltName: Full=AtSYV1; AltName: Full=Protein TWIN 2; AltName: Full=Valyl-tRNA synthetase; Short=ValRS; Flags: Precursor"
THTET00000003021;gi|2492754|sp|P87219.1|SOU1_CANAL;35.06;8.81E-36;"RecName: Full=Sorbose reductase SOU1; AltName: Full=Sorbitol utilization protein SOU1"
THTET00000003083;gi|74623691|sp|Q9C0V1.1|AMT1_SCHPO;63.181;0;RecName: Full=Ammonium transporter 1
THTET00000003550;gi|73621942|sp|Q9P6V8.2|SPB1_NEUCR;77.698;0;"RecName: Full=AdoMet-dependent rRNA methyltransferase spb1; AltName: Full=2'-O-ribose RNA methyltransferase; AltName: Full=S-adenosyl-L-methionine-dependent methyltransferase"
THTET00000003946;gi|259016476|sp|O14109.5|MAF1_SCHPO;38.298;6.84E-47;RecName: Full=Repressor of RNA polymerase III transcription maf1
THTET00000003504;gi|48429006|sp|P61869.1|MDLA_PENCY;46.445;4.47E-59;"RecName: Full=Mono- and diacylglycerol lipase; Short=MDGL; Flags: Precursor"
THTET00000003435;gi|1008808710|sp|A2SUH3.1|LAEA_MONPI;34.969;6.67E-53;"RecName: Full=Secondary metabolism regulator laeA; AltName: Full=Methyltransferase laeA; AltName: Full=Velvet complex subunit laeA"
THTET00000002927;gi|74730711|sp|Q8WUH2.1|TGFA1_HUMAN;24.684;7.12E-21;"RecName: Full=Transforming growth factor-beta receptor-associated protein 1; Short=TGF-beta receptor-associated protein 1; Short=TRAP-1; Short=TRAP1"
THTET00000002927;gi|74730711|sp|Q8WUH2.1|TGFA1_HUMAN;24.49;1.33E-05;"RecName: Full=Transforming growth factor-beta receptor-associated protein 1; Short=TGF-beta receptor-associated protein 1; Short=TRAP-1; Short=TRAP1"
THTET00000003719;gi|50403759|sp|P87000.2|ACU15_NEUCR;67.241;0;"RecName: Full=Transcriptional activator protein acu-15; AltName: Full=Acetate utilization protein 15"
THTET00000003843;gi|2498845|sp|Q92372.1|RFA1_SCHPO;49.429;0;"RecName: Full=Replication factor A protein 1; AltName: Full=Single-stranded DNA-binding protein p68 subunit"
